generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.02010560327403605,9.3,0.002177858439201452,0.04238906498727355,-0.03632375742695987,0.7893217893217893,"[17316916, 17850012, 2384071, 8820652]"
1,-0.02010560327403605,9.3,0.002177858439201452,0.04238906498727355,-0.0256996240724222,0.8122655122655124,"[17316916, 17850012, 2384071, 8820652]"
2,-0.02010560327403605,9.3,0.002177858439201452,0.04238906498727355,-0.0256996240724222,0.8122655122655124,"[17316916, 17850012, 2384071, 8820652]"
3,-0.019573880822746508,8.0,0.001869328493647913,0.04101709013914093,-0.024331991159472082,0.8108225108225108,"[14110743, 2384071, 7376382, 8820652]"
4,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.020491068758791846,0.7266955266955267,"[16918618, 19624059, 2384071, 8820652]"
5,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.019906898757597366,0.7157287157287158,"[16918618, 19624059, 2384071, 8820652]"
6,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.019627154744417136,0.7232323232323232,"[16918618, 19624059, 2384071, 8820652]"
7,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.019627154744417136,0.7232323232323232,"[16918618, 19624059, 2384071, 8820652]"
8,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.019627154744417136,0.7232323232323232,"[16918618, 19624059, 2384071, 8820652]"
9,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.01959146497950129,0.7255411255411256,"[16918618, 19624059, 2384071, 8820652]"
