generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.020351762501291053,8.2,0.0019056261343012705,0.04260915113688338,-0.04018111435027835,0.7772005772005773,"[11350892, 17850012, 2384071, 25681991]"
1,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.028040757877547378,0.735930735930736,"[11350892, 16004411, 17850012, 2384071]"
2,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.02531156850645913,0.7464646464646466,"[11350892, 16004411, 17850012, 2384071]"
3,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.023870587671153975,0.7163059163059163,"[11350892, 16004411, 17850012, 2384071]"
4,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.023495596073385607,0.7474747474747474,"[11350892, 16004411, 17850012, 2384071]"
5,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.023495596073385607,0.7474747474747474,"[11350892, 16004411, 17850012, 2384071]"
6,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.023160359746656093,0.7780663780663781,"[11350892, 16004411, 17850012, 2384071]"
7,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.023108926990659955,0.7722943722943724,"[11350892, 16004411, 17850012, 2384071]"
8,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.023108926990659955,0.7722943722943724,"[11350892, 16004411, 17850012, 2384071]"
9,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.023108926990659955,0.7722943722943724,"[11350892, 16004411, 17850012, 2384071]"
