node_id,candidate_group,ml_score,ris_score,fair_ris_score,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization
0,northwest_antelope_valley,0.5971446637935213,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39425837320574164,0.5971446637935213,0.0,0.0,3.3136873059644456,3.3136873059644456,3.3136873059644456,3.3136873059644456,per_group
1,northwest_antelope_valley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39425837320574164,1.0,0.0,0.0,0.5942583732057416,0.5942583732057416,0.5942583732057416,0.5942583732057416,per_group
10,northeast_antelope_valley,0.25363742181536736,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.278879015721121,0.25363742181536736,0.0,0.0,3.1296065000841944,3.1296065000841944,3.1296065000841944,3.1296065000841944,per_group
100,lancaster,0.15924334124376696,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.15924334124376696,0.0,0.0,0.6585153349154201,0.6585153349154201,0.6585153349154201,0.6585153349154201,per_group
101,lancaster,0.14686333107417737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14686333107417737,0.0,0.0,0.029372666214835474,0.029372666214835474,0.029372666214835474,0.029372666214835474,per_group
102,lancaster,0.22519104744883667,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.22519104744883667,0.0,0.0,0.7383715428231007,0.7383715428231007,0.7383715428231007,0.7383715428231007,per_group
103,lancaster,0.04539724958702774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04539724958702774,0.0,0.0,0.009079449917405549,0.009079449917405549,0.009079449917405549,0.009079449917405549,per_group
104,lancaster,0.3106924487803334,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.3106924487803334,0.0,0.0,0.3954718230894,0.3954718230894,0.3954718230894,0.3954718230894,per_group
105,lancaster,0.023422643589314326,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.023422643589314326,0.0,0.0,0.5646845287178629,0.5646845287178629,0.5646845287178629,0.5646845287178629,per_group
106,lancaster,0.04503878829105072,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.04503878829105072,0.0,0.0,0.5690077576582102,0.5690077576582102,0.5690077576582102,0.5690077576582102,per_group
107,lancaster,0.07741916468913608,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.07741916468913608,0.0,0.0,0.5754838329378272,0.5754838329378272,0.5754838329378272,0.5754838329378272,per_group
108,lancaster,0.09286100949301793,0.6,0.5999999999999999,0.0,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.09286100949301793,0.0,0.0,1.6985722018986034,1.6985722018986034,1.6985722018986034,1.6985722018986034,per_group
109,lancaster,0.03371830896417026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03371830896417026,0.0,0.0,0.0067436617928340525,0.0067436617928340525,0.0067436617928340525,0.0067436617928340525,per_group
11,northeast_antelope_valley,0.18506886863055466,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.278879015721121,0.18506886863055466,0.0,0.0,1.0158927894472318,1.0158927894472318,1.0158927894472318,1.0158927894472318,per_group
110,lancaster,0.1864452558755023,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.16666666666666666,0.0,0.0,0.0,0.1864452558755023,0.0,0.0,0.5839557178417671,0.5839557178417671,0.5839557178417671,0.5839557178417671,per_group
111,lancaster,0.11270091557529854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11270091557529854,0.0,0.0,0.02254018311505971,0.02254018311505971,0.02254018311505971,0.02254018311505971,per_group
112,lancaster,0.14809084211097243,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.14809084211097243,0.0,0.0,0.5896181684221945,0.5896181684221945,0.5896181684221945,0.5896181684221945,per_group
113,lancaster,0.11830590432059261,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.11830590432059261,0.0,0.0,0.6503278475307852,0.6503278475307852,0.6503278475307852,0.6503278475307852,per_group
114,lancaster,0.09805013358484423,0.6,0.5999999999999999,0.0,0.0,0.5999999999999999,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.09805013358484423,0.0,0.0,1.7662766933836351,1.7662766933836351,1.7662766933836351,1.7662766933836351,per_group
115,lancaster,0.10092223581210799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10092223581210799,0.0,0.0,0.020184447162421598,0.020184447162421598,0.020184447162421598,0.020184447162421598,per_group
116,lancaster,0.11324451873182707,0.4,0.39999999999999997,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.11324451873182707,0.0,0.0,1.1426489037463656,1.1426489037463656,1.1426489037463656,1.1426489037463656,per_group
117,lancaster,0.10792480024137646,0.6,0.5999999999999999,0.0,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.10792480024137646,0.0,0.0,1.701584960048275,1.701584960048275,1.701584960048275,1.701584960048275,per_group
118,lancaster,0.0838246710667794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838246710667794,0.0,0.0,0.01676493421335588,0.01676493421335588,0.01676493421335588,0.01676493421335588,per_group
119,lancaster,0.1160167115679969,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.1160167115679969,0.0,0.0,0.5832033423135994,0.5832033423135994,0.5832033423135994,0.5832033423135994,per_group
12,lancaster,0.6990807415927546,0.4,0.39999999999999997,0.0,0.0,0.39999999999999997,0.125,0.125,0.6666666666666666,0.0,0.0,0.0,0.6990807415927546,0.0,0.0,1.6764828149852176,1.6764828149852176,1.6764828149852176,1.6764828149852176,per_group
120,lancaster,0.06404359307226644,0.6,0.5999999999999999,0.0,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.06404359307226644,0.0,0.0,1.692808718614453,1.692808718614453,1.692808718614453,1.692808718614453,per_group
121,lancaster,0.06361942649860304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06361942649860304,0.0,0.0,0.012723885299720608,0.012723885299720608,0.012723885299720608,0.012723885299720608,per_group
122,lancaster,0.24802914373755763,0.6,0.5999999999999999,0.0,0.0,0.5999999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.24802914373755763,0.0,0.0,2.2629391620808446,2.2629391620808446,2.2629391620808446,2.2629391620808446,per_group
123,lancaster,0.062624883301829,0.4,0.39999999999999997,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.062624883301829,0.0,0.0,1.132524976660366,1.132524976660366,1.132524976660366,1.132524976660366,per_group
124,lancaster,0.02854618929243258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02854618929243258,0.0,0.0,0.005709237858486517,0.005709237858486517,0.005709237858486517,0.005709237858486517,per_group
125,lancaster,0.08869896380281576,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.08869896380281576,0.0,0.0,0.5777397927605632,0.5777397927605632,0.5777397927605632,0.5777397927605632,per_group
126,lancaster,0.10935235014672076,0.2,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.10935235014672076,0.0,0.0,0.5818704700293442,0.5818704700293442,0.5818704700293442,0.5818704700293442,per_group
127,lancaster,0.32758026383036126,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.32758026383036126,0.0,0.0,0.6655160527660722,0.6655160527660722,0.6655160527660722,0.6655160527660722,per_group
128,lancaster,0.06362327243417479,0.4,0.39999999999999997,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.06362327243417479,0.0,0.0,1.132724654486835,1.132724654486835,1.132724654486835,1.132724654486835,per_group
