rank,node
1,10
2,106
3,114
4,128
5,144
6,149
7,152
8,157
9,204
10,214
11,217
12,238
13,250
14,252
15,254
16,324
17,340
18,345
19,353
20,356
21,370
22,405
23,429
24,440
25,444
26,446
27,447
28,449
29,458
30,459
31,46
32,466
33,470
34,474
35,475
36,495
37,497
38,498
39,90
40,92
