generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.010041152263374499,0.010041152263374499,13.5,0.02666666666666667,0.006584362139917672,-0.040018117199455416,0.861350810851539,"[13, 167, 178, 201, 248, 325, 38, 405, 411, 430, 439, 56]",0,4.5,1.0,"1,0,2"
1,0.010041152263374499,0.010041152263374499,13.5,0.02666666666666667,0.006584362139917672,-0.01758727360202553,0.8268217502532655,"[13, 167, 178, 201, 248, 325, 38, 405, 411, 430, 439, 56]",0,4.5,1.0,"1,0,2"
2,0.010041152263374499,0.010041152263374499,13.5,0.02666666666666667,0.006584362139917672,-0.008635996256130157,0.8212152678837292,"[13, 167, 178, 201, 248, 325, 38, 405, 411, 430, 439, 56]",0,4.5,1.0,"1,0,2"
3,0.011946867167919782,0.011946867167919782,13.3,0.0264,0.0025062656641604364,-0.003531184603238572,0.803713347963767,"[11, 13, 167, 178, 201, 264, 28, 326, 406, 411, 430, 463]",0,4.433333333333334,1.0,"0,1,2"
4,0.012165432098765437,0.012165432098765437,13.5,0.0268,0.002469135802469127,0.000817549637987262,0.8005207617904787,"[178, 201, 216, 248, 251, 330, 331, 38, 411, 439, 446, 56]",0,4.5,1.0,"0,1,2"
5,0.012165432098765437,0.012165432098765437,13.5,0.0268,0.002469135802469127,0.0033895508535721573,0.7812820733818298,"[178, 201, 216, 248, 251, 330, 331, 38, 411, 439, 446, 56]",0,4.5,1.0,"0,1,2"
6,0.012165432098765437,0.012165432098765437,13.5,0.0268,0.002469135802469127,0.007870279621809311,0.7773388983156603,"[178, 201, 216, 248, 251, 330, 331, 38, 411, 439, 446, 56]",0,4.5,1.0,"0,1,2"
7,0.012165432098765437,0.012165432098765437,13.5,0.0268,0.002469135802469127,0.00864235259376978,0.7735622390366085,"[178, 201, 216, 248, 251, 330, 331, 38, 411, 439, 446, 56]",0,4.5,1.0,"0,1,2"
8,0.012165432098765437,0.012165432098765437,13.5,0.0268,0.002469135802469127,0.010241114630420184,0.7802947362982362,"[178, 201, 216, 248, 251, 330, 331, 38, 411, 439, 446, 56]",0,4.5,1.0,"0,1,2"
9,0.012165432098765437,0.012165432098765437,13.5,0.0268,0.002469135802469127,0.010446835109026461,0.7778768140575063,"[178, 201, 216, 248, 251, 330, 331, 38, 411, 439, 446, 56]",0,4.5,1.0,"0,1,2"
