generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.016227299880525677,4.65,0.008166666666666668,0.040621266427718024,-0.02092997725276165,0.826984126984127,"[116, 13, 331, 458]"
1,-0.016227299880525677,4.65,0.008166666666666668,0.040621266427718024,-0.019619800909821076,0.8145743145743147,"[116, 13, 331, 458]"
2,-0.016227299880525677,4.65,0.008166666666666668,0.040621266427718024,-0.019619800909821076,0.8145743145743147,"[116, 13, 331, 458]"
3,-0.01614652014652015,4.55,0.008,0.0402930402930403,-0.01895089753952882,0.887012987012987,"[108, 390, 458, 49]"
4,-0.01614652014652015,4.55,0.008,0.0402930402930403,-0.018146599290779112,0.8764790764790765,"[108, 390, 458, 49]"
5,-0.01614652014652015,4.55,0.008,0.0402930402930403,-0.018146599290779112,0.8764790764790765,"[108, 390, 458, 49]"
6,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017358145103170335,0.8699855699855701,"[116, 170, 390, 461]"
7,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017174969960943472,0.8418470418470418,"[116, 170, 390, 461]"
8,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017174969960943472,0.8418470418470418,"[116, 170, 390, 461]"
9,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017174969960943472,0.8418470418470418,"[116, 170, 390, 461]"
