generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.012623433583959894,0.012623433583959894,13.3,0.0265,0.0012531328320802108,-0.022939479111538676,0.8098047532646585,"[13, 167, 209, 216, 251, 330, 342, 403, 477, 495, 7, 9]",0,4.433333333333334,1.0,"1,2,0"
1,0.012623433583959894,0.012623433583959894,13.3,0.0265,0.0012531328320802108,-0.016670193899292113,0.8240057413866442,"[13, 167, 209, 216, 251, 330, 342, 403, 477, 495, 7, 9]",0,4.433333333333334,1.0,"1,2,0"
2,0.012623433583959894,0.012623433583959894,13.3,0.0265,0.0012531328320802108,-0.008493289894594105,0.8104972126087167,"[13, 167, 209, 216, 251, 330, 342, 403, 477, 495, 7, 9]",0,4.433333333333334,1.0,"1,2,0"
3,0.012623433583959894,0.012623433583959894,13.3,0.0265,0.0012531328320802108,-4.234717517723023e-05,0.814683100768344,"[13, 167, 209, 216, 251, 330, 342, 403, 477, 495, 7, 9]",0,4.433333333333334,1.0,"1,2,0"
4,0.012769332519332538,0.012769332519332538,13.65,0.02716666666666667,0.0016280016280015932,0.006391852615441161,0.8121732028351052,"[121, 167, 203, 209, 248, 28, 342, 390, 403, 436, 470, 65]",0,4.55,1.0,"1,2,0"
5,0.012769332519332538,0.012769332519332538,13.65,0.02716666666666667,0.0016280016280015932,0.0077601525254077375,0.8212900463625508,"[121, 167, 203, 209, 248, 28, 342, 390, 403, 436, 470, 65]",0,4.55,1.0,"1,2,0"
6,0.012769332519332538,0.012769332519332538,13.65,0.02716666666666667,0.0016280016280015932,0.009214274418545136,0.813149739348053,"[121, 167, 203, 209, 248, 28, 342, 390, 403, 436, 470, 65]",0,4.55,1.0,"1,2,0"
7,0.012769332519332538,0.012769332519332538,13.65,0.02716666666666667,0.0016280016280015932,0.010167198239870447,0.8022776075273047,"[121, 167, 203, 209, 248, 28, 342, 390, 403, 436, 470, 65]",0,4.55,1.0,"1,2,0"
8,0.012769332519332538,0.012769332519332538,13.65,0.02716666666666667,0.0016280016280015932,0.010167198239870447,0.8022776075273047,"[121, 167, 203, 209, 248, 28, 342, 390, 403, 436, 470, 65]",0,4.55,1.0,"1,2,0"
9,0.012769332519332538,0.012769332519332538,13.65,0.02716666666666667,0.0016280016280015932,0.010167198239870447,0.8022776075273047,"[121, 167, 203, 209, 248, 28, 342, 390, 403, 436, 470, 65]",0,4.55,1.0,"1,2,0"
