dataset,community_method,method,variant_type,seed_set,total_spread,mf,dcv,f_score,runtime_seconds,candidate_pool_size,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,ml_guidance_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
synth3,leiden,degree,baseline,"[127, 167, 169, 178, 201, 203, 209, 251, 269, 291, 292, 9]",13.7,0.0,0.6666666666666666,-0.3333333333333333,0.003997499999968568,500,False,False,False,False,False,off,,off,,,2,4.566666666666666,0.3333333333333333,"0,2,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.3462183271832718
synth3,leiden,pagerank,baseline,"[169, 178, 201, 203, 209, 235, 251, 269, 292, 430, 439, 9]",13.45,0.0,0.3333333333333333,-0.16666666666666666,0.007583500002510846,500,False,False,False,False,False,off,,off,,,1,4.483333333333333,0.6666666666666666,"0,2,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.17955166051660512
synth3,leiden,community_round_robin,baseline,"[169, 178, 203, 209, 251, 269, 277, 304, 326, 368, 403, 9]",13.1,0.0,0.3333333333333333,-0.16666666666666666,0.006322699999145698,500,False,False,False,True,False,off,,off,,,1,4.366666666666667,0.6666666666666666,"2,1,0",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.17955166051660512
synth3,leiden,random,baseline,"[137, 138, 140, 19, 291, 293, 335, 389, 41, 440, 481, 88]",13.4,0.0176,0.1144278606965174,-0.0484139303482587,0.0022207000001799315,500,False,False,False,False,False,off,,off,,,0,4.466666666666667,1.0,"0,2,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.06129892419819718
synth3,leiden,cea_fim,comparator,"[127, 13, 178, 269, 287, 292, 370, 405, 423, 448, 452, 9]",12.6,0.024833333333333332,0.004850088183421492,0.00999162257495592,0.9386991999999736,500,False,True,False,True,False,off,CEA-style baseline: community EA without swarm guidance or local search.; history=synth3_budget12_leiden_cea_fim_history.csv,off,,,0,4.2,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.0028933712749825563
synth3,leiden,hybrid_siea,proposed,"[13, 201, 251, 269, 291, 292, 327, 403, 423, 449, 465, 81]",13.0,0.025833333333333333,0.002136752136752129,0.011848290598290602,12.766293600001518,500,True,True,True,True,False,off,history=synth3_budget12_leiden_hybrid_siea_history.csv,off,,,0,4.333333333333333,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.0010367032516478743
synth3,leiden,ml_topk,ml_baseline,"[108, 113, 116, 118, 121, 13, 252, 286, 331, 377, 413, 49]",12.85,0.0,0.3333333333333333,-0.16666666666666666,1.5126623999967705,500,False,False,False,False,False,off,ML ranking baseline; spearman=0.302647; precision_at_budget=0.250000; label_variance=0.013862,off,0.30264659122017806,0.25,1,4.283333333333333,0.6666666666666666,"2,0,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.17955166051660512
synth3,leiden,hybrid_siea_ml_two_tier_tuned,ml_guided,"[121, 13, 201, 235, 268, 370, 405, 411, 430, 495, 7, 81]",13.0,0.025833333333333333,0.002136752136752129,0.011848290598290602,15.30166029999964,500,True,True,True,True,False,off,ML guidance mode=two_tier; full_pool=500; tier_policy=tuned; spearman=0.302647; precision_at_budget=0.250000; label_variance=0.013862; history=synth3_budget12_leiden_hybrid_siea_ml_two_tier_tuned_history.csv,two_tier,0.30264659122017806,0.25,0,4.333333333333333,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.0010367032516478743
synth3,leiden,hybrid_siea_ml_two_tier_tuned_fairness_full,refinement_baseline,"[13, 133, 178, 203, 209, 216, 291, 327, 331, 401, 435, 445]",13.55,0.027,0.0012300123001230477,0.012884993849938476,8.282690199997887,500,True,True,True,True,False,off,Current best fairness-focused method before the new refinement study.; ML guidance mode=two_tier; full_pool=500; spearman=0.302647; precision_at_budget=0.250000; label_variance=0.013862; history=synth3_budget12_leiden_hybrid_siea_ml_two_tier_tuned_fairness_full_history.csv,two_tier,0.30264659122017806,0.25,0,4.516666666666667,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,0.0
synth3,leiden,hybrid_siea_ml_two_tier_tuned_marginal_gain,refinement_variant,"[13, 167, 201, 26, 28, 291, 330, 358, 391, 439, 477, 9]",13.55,0.027,0.0012300123001230477,0.012884993849938476,15.92528019999736,500,True,True,True,True,False,off,Current best method plus marginal fairness-gain candidate scoring.; ML guidance mode=two_tier; full_pool=500; spearman=0.302647; precision_at_budget=0.250000; label_variance=0.013862; history=synth3_budget12_leiden_hybrid_siea_ml_two_tier_tuned_marginal_gain_history.csv,two_tier,0.30264659122017806,0.25,0,4.516666666666667,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,0.0
