generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.0182222222222222,-0.0182222222222222,4.5,0.008,0.0444444444444444,-0.05154712095863573,0.9170274170274172,"[116, 248, 331, 471]",0,1.5,1.0,"1,0,2"
1,-0.017931023720349548,-0.017931023720349548,4.45,0.007833333333333333,0.04369538077403243,-0.021328780671541536,0.8955266955266956,"[201, 391, 439, 9]",0,1.4833333333333334,1.0,"1,0,2"
2,-0.017931023720349548,-0.017931023720349548,4.45,0.007833333333333333,0.04369538077403243,-0.019766745507002307,0.8842712842712842,"[201, 391, 439, 9]",0,1.4833333333333334,1.0,"1,0,2"
3,-0.017688271604938254,-0.017688271604938254,4.5,0.007833333333333333,0.04320987654320984,-0.01923172282116833,0.8952380952380954,"[248, 264, 331, 469]",0,1.5,1.0,"1,0,2"
4,-0.017688271604938254,-0.017688271604938254,4.5,0.007833333333333333,0.04320987654320984,-0.019229261033984323,0.8873015873015874,"[248, 264, 331, 469]",0,1.5,1.0,"1,0,2"
5,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.01810227466921818,0.8865800865800867,"[248, 292, 406, 471]",0,1.55,1.0,"1,0,2"
6,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017086745444734135,0.8731601731601731,"[134, 391, 445, 56]",0,1.5333333333333332,1.0,"1,0,2"
7,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017050250172866526,0.8782106782106782,"[134, 391, 445, 56]",0,1.5333333333333332,1.0,"1,0,2"
8,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017050250172866526,0.8782106782106782,"[134, 391, 445, 56]",0,1.5333333333333332,1.0,"1,0,2"
9,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016985725982090503,0.9067821067821068,"[134, 391, 445, 56]",0,1.5333333333333332,1.0,"1,0,2"
