dataset,community_method,method,variant_type,seed_set,total_spread,mf,dcv,f_score,runtime_seconds,candidate_pool_size,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std
synth3,leiden,degree,baseline,"[169, 178, 269, 292]",4.35,0.0,0.6666666666666666,-0.3333333333333333,0.004024099998787278,500,False,False,False,False,False,,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,pagerank,baseline,"[169, 269, 430, 9]",4.6,0.0004,0.3188405797101449,-0.15922028985507244,0.17185450000033597,500,False,False,False,False,False,,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,community_round_robin,baseline,"[169, 209, 251, 9]",4.45,0.0,0.6666666666666666,-0.3333333333333333,0.005003399997804081,500,False,False,False,True,False,,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,random,baseline,"[139, 297, 393, 446]",4.05,0.006833333333333333,0.05624142661179696,-0.024704046639231814,0.0008063000022957567,500,False,False,False,False,False,,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,cea_fim,comparator,"[127, 291, 403, 465]",4.4,0.007666666666666666,0.04292929292929296,-0.017631313131313147,0.09214200000133133,500,False,True,False,True,False,CEA-style baseline: community EA without swarm guidance or local search.; history=synth3_budget4_leiden_cea_fim_history.csv,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,hybrid_siea,proposed,"[291, 292, 403, 449]",4.4,0.007666666666666666,0.04292929292929296,-0.017631313131313147,0.9794547999990755,500,True,True,True,True,False,history=synth3_budget4_leiden_hybrid_siea_history.csv,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,hybrid_no_swarm,ablation,"[178, 209, 403, 444]",4.6,0.008166666666666668,0.03743961352657,-0.014636473429951665,0.949461500000325,500,False,True,True,True,False,Ablation: swarm guidance disabled.; history=synth3_budget4_leiden_hybrid_no_swarm_history.csv,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,hybrid_no_crossover,ablation,"[203, 292, 403, 444]",4.2,0.007166666666666667,0.04894179894179895,-0.020887566137566142,0.5458557999991172,500,True,False,True,True,False,Ablation: crossover disabled.; history=synth3_budget4_leiden_hybrid_no_crossover_history.csv,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,hybrid_no_local_search,ablation,"[203, 292, 327, 452]",4.55,0.008,0.0402930402930403,-0.01614652014652015,0.09690950000003795,500,True,True,False,True,False,Ablation: local search disabled.; history=synth3_budget4_leiden_hybrid_no_local_search_history.csv,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
synth3,leiden,hybrid_no_community_mutation,ablation,"[251, 292, 370, 498]",4.6,0.008166666666666668,0.03743961352657,-0.014636473429951665,0.8420986000019184,500,True,True,True,False,False,Ablation: community-aware mutation bonus disabled.; history=synth3_budget4_leiden_hybrid_no_community_mutation_history.csv,0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586
