dataset,community_method,method,variant_type,seed_set,total_spread,mf,dcv,f_score,runtime_seconds,candidate_pool_size,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,ml_guidance_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
synth3,leiden,degree,baseline,"[11, 121, 127, 167, 169, 178, 201, 203, 209, 248, 251, 264, 265, 269, 277, 291, 292, 7, 78, 9]",22.85,0.0,0.661804035983467,-0.3309020179917335,0.006132299999997315,500,False,False,False,False,False,off,,off,,,1,7.616666666666667,0.6666666666666666,"0,2,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.3433768344938849
synth3,leiden,pagerank,baseline,"[127, 167, 169, 178, 201, 203, 209, 235, 251, 264, 265, 269, 277, 291, 292, 430, 439, 7, 78, 9]",22.3,0.0,0.45241654210264076,-0.22620827105132038,0.016477899999998158,500,False,False,False,False,False,off,,off,,,1,7.433333333333333,0.6666666666666666,"0,2,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.23868308755347173
synth3,leiden,community_round_robin,baseline,"[169, 178, 203, 209, 251, 269, 277, 304, 326, 368, 400, 403, 429, 430, 434, 444, 446, 448, 449, 9]",21.25,0.030500000000000003,0.10745098039215689,-0.038475490196078446,0.0063029000000014435,500,False,False,False,True,False,off,,off,,,0,7.083333333333333,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.05095030669822981
synth3,leiden,random,baseline,"[136, 137, 140, 156, 188, 289, 290, 301, 329, 331, 384, 405, 419, 425, 435, 438, 45, 475, 477, 81]",21.45,0.033666666666666664,0.07174307174307173,-0.019038202538202535,0.0029180000000010864,500,False,False,False,False,False,off,,off,,,0,7.1499999999999995,1.0,"1,2,0",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.0315130190403539
synth3,leiden,cea_fim,comparator,"[13, 169, 203, 209, 251, 269, 28, 287, 292, 327, 370, 399, 416, 423, 429, 463, 465, 472, 81, 9]",21.45,0.04066666666666666,0.027454027454027433,0.006606319606319615,1.2478571000000045,500,False,True,False,True,False,off,CEA-style baseline: community EA without swarm guidance or local search.; history=synth3_budget20_leiden_cea_fim_history.csv,off,,,0,7.1499999999999995,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.005868496895831746
synth3,leiden,hybrid_siea,proposed,"[11, 127, 169, 177, 178, 203, 251, 269, 277, 28, 292, 326, 327, 370, 400, 423, 430, 495, 499, 9]",21.7,0.041999999999999996,0.015360983102918594,0.013319508448540702,27.740216300000007,500,True,True,True,True,False,off,history=synth3_budget20_leiden_hybrid_siea_history.csv,off,,,0,7.233333333333333,1.0,"2,0,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,0.00084469194638934
synth3,leiden,ml_topk,ml_baseline,"[108, 113, 116, 118, 121, 13, 132, 166, 170, 180, 183, 209, 252, 264, 286, 296, 331, 377, 413, 49]",22.1,0.0013333333333333335,0.46958270487682247,-0.23412468577174456,1.3384321999999997,500,False,False,False,False,False,off,ML ranking baseline; spearman=0.302647; precision_at_budget=0.450000; label_variance=0.013862,off,0.30264659122017806,0.45,0,7.366666666666666,1.0,"2,0,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.24659950227389593
synth3,leiden,hybrid_siea_ml_two_tier_tuned,ml_guided,"[11, 127, 13, 178, 203, 248, 251, 293, 304, 368, 403, 411, 416, 429, 446, 465, 56, 7, 73, 9]",21.1,0.040799999999999996,0.01263823064770938,0.014080884676145308,30.289891300000008,500,True,True,True,True,False,off,ML guidance mode=two_tier; full_pool=500; tier_policy=tuned; spearman=0.302647; precision_at_budget=0.450000; label_variance=0.013862; history=synth3_budget20_leiden_hybrid_siea_ml_two_tier_tuned_history.csv,two_tier,0.30264659122017806,0.45,0,7.033333333333332,1.0,"0,2,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,0.0016060681739939464
synth3,leiden,hybrid_siea_ml_two_tier_tuned_fairness_full,refinement_baseline,"[121, 13, 141, 18, 201, 235, 248, 264, 269, 291, 331, 381, 399, 416, 423, 439, 466, 498, 56, 9]",21.95,0.04266666666666667,0.01771703366236395,0.012474816502151362,10.114849300000003,500,True,True,True,True,False,off,Current best fairness-focused method before the new refinement study.; ML guidance mode=two_tier; full_pool=500; spearman=0.302647; precision_at_budget=0.450000; label_variance=0.013862; history=synth3_budget20_leiden_hybrid_siea_ml_two_tier_tuned_fairness_full_history.csv,two_tier,0.30264659122017806,0.45,0,7.316666666666666,1.0,"2,0,1",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,0.0
synth3,leiden,hybrid_siea_ml_two_tier_tuned_marginal_gain,refinement_variant,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",21.5,0.042,0.007751937984496124,0.01712403100775194,21.753741199999993,500,True,True,True,True,False,off,Current best method plus marginal fairness-gain candidate scoring.; ML guidance mode=two_tier; full_pool=500; spearman=0.302647; precision_at_budget=0.450000; label_variance=0.013862; history=synth3_budget20_leiden_hybrid_siea_ml_two_tier_tuned_marginal_gain_history.csv,two_tier,0.30264659122017806,0.45,0,7.166666666666667,1.0,"0,1,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea_ml_two_tier_tuned_fairness_full,0.0046492145056005775
