generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.0182222222222222,-0.0182222222222222,4.5,0.008,0.0444444444444444,-0.02776096588071557,0.8219336219336221,"[203, 330, 448, 9]",0,1.5,1.0,"1,0,2"
1,-0.0182222222222222,-0.0182222222222222,4.5,0.008,0.0444444444444444,-0.021950169234797742,0.8142857142857145,"[203, 330, 448, 9]",0,1.5,1.0,"1,0,2"
2,-0.0182222222222222,-0.0182222222222222,4.5,0.008,0.0444444444444444,-0.021647150219613973,0.8099567099567101,"[203, 330, 448, 9]",0,1.5,1.0,"1,0,2"
3,-0.017739130434782605,-0.017739130434782605,4.6,0.008,0.04347826086956521,-0.020063937730338974,0.7353535353535353,"[292, 411, 448, 9]",0,1.5333333333333332,1.0,"1,0,2"
4,-0.017739130434782605,-0.017739130434782605,4.6,0.008,0.04347826086956521,-0.01999570015515696,0.7363636363636363,"[292, 411, 448, 9]",0,1.5333333333333332,1.0,"1,0,2"
5,-0.017739130434782605,-0.017739130434782605,4.6,0.008,0.04347826086956521,-0.019774046562492726,0.7313131313131312,"[292, 411, 448, 9]",0,1.5333333333333332,1.0,"1,0,2"
6,-0.017739130434782605,-0.017739130434782605,4.6,0.008,0.04347826086956521,-0.019530739839347295,0.7106782106782108,"[292, 411, 448, 9]",0,1.5333333333333332,1.0,"1,0,2"
7,-0.017739130434782605,-0.017739130434782605,4.6,0.008,0.04347826086956521,-0.019295967191307054,0.715873015873016,"[292, 411, 448, 9]",0,1.5333333333333332,1.0,"1,0,2"
8,-0.017739130434782605,-0.017739130434782605,4.6,0.008,0.04347826086956521,-0.01921056506212474,0.7369408369408369,"[292, 411, 448, 9]",0,1.5333333333333332,1.0,"1,0,2"
9,-0.017739130434782605,-0.017739130434782605,4.6,0.008,0.04347826086956521,-0.01921056506212474,0.7369408369408369,"[292, 411, 448, 9]",0,1.5333333333333332,1.0,"1,0,2"
