node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,community_diversity_bonus,combined_score
0,0.11525514529226427,0.0,0.0,0.0,0.0,0.11525514529226427
1,0.1874377578070696,0.0,0.0,0.0,0.0,0.1874377578070696
10,0.2505189958772134,0.0,0.0,0.0,0.0,0.2505189958772134
100,0.24332076711640863,0.0,0.0,0.0,0.16666666666666666,0.276654100449742
101,0.1993981431728055,0.0,0.0,0.0,0.0,0.1993981431728055
102,0.3052405775327288,0.0,0.0,0.0,0.3333333333333333,0.37190724419939547
103,0.02143055138731594,0.0,0.0,0.0,0.0,0.02143055138731594
104,0.18535098424033286,0.0,0.0,0.1111111111111111,0.16666666666666666,0.2409065397958884
105,0.05472118785778247,0.0,0.0,0.0,0.0,0.05472118785778247
106,0.18085436544673775,0.0,0.0,0.0,0.0,0.18085436544673775
107,0.16598763467242547,0.0,0.0,0.0,0.0,0.16598763467242547
108,0.1905454126167359,0.5,0.3295976937187676,0.0,0.0,0.8553442594761197
109,0.11715143889556748,0.0,0.0,0.0,0.0,0.11715143889556748
11,0.15327084262121696,0.0,0.0,0.0,0.0,0.15327084262121696
110,0.21980489921396792,0.0,0.0,0.2,0.16666666666666666,0.29313823254730126
111,0.18590348245967797,0.0,0.0,0.0,0.0,0.18590348245967797
112,0.09312560292894152,0.0,0.0,0.0,0.0,0.09312560292894152
113,0.31710436431456923,0.0,0.0,0.0,0.16666666666666666,0.35043769764790256
114,0.21528323488455642,0.5,0.3295976937187676,0.0,0.16666666666666666,0.9134154150772735
115,0.08614325408534629,0.0,0.0,0.0,0.0,0.08614325408534629
116,0.17614383572459788,0.0,0.0,0.0,0.0,0.17614383572459788
117,0.15174932632037327,0.0,0.0,0.0,0.0,0.15174932632037327
118,0.17598308749000297,0.0,0.0,0.0,0.0,0.17598308749000297
119,0.18093808684476537,0.0,0.0,0.0,0.0,0.18093808684476537
12,0.5010629585306966,0.0,0.0,0.0625,0.6666666666666666,0.6468962918640299
120,0.17183253814413446,0.0,0.0,0.0,0.0,0.17183253814413446
121,0.14471468113784075,0.0,0.0,0.0,0.0,0.14471468113784075
122,0.3995351296521935,0.0,0.0,0.16666666666666666,0.3333333333333333,0.4995351296521935
123,0.1648411319526811,0.0,0.0,0.0,0.0,0.1648411319526811
124,0.034839127916018064,0.0,0.0,0.0,0.0,0.034839127916018064
125,0.12962561216349835,0.0,0.0,0.0,0.0,0.12962561216349835
126,0.14914640206504381,0.0,0.0,0.0,0.0,0.14914640206504381
127,0.406693427322876,0.0,0.0,0.16666666666666666,0.5,0.5400267606562094
128,0.17465457145808375,0.5,0.3295976937187676,0.0,0.0,0.8394534183174676
129,0.18640218790870053,0.0,0.0,0.0,0.0,0.18640218790870053
13,0.7554092351947903,0.0,0.0,0.058823529411764705,1.0,0.9671739410771432
130,0.19819934411412385,0.0,0.0,0.0,0.0,0.19819934411412385
131,0.11867130124593271,0.0,0.0,0.0,0.16666666666666666,0.15200463457926605
132,0.15445361411216707,0.0,0.0,0.0,0.0,0.15445361411216707
133,0.0,0.0,0.0,0.0,0.0,0.0
134,0.1299799513636172,0.0,0.0,0.0,0.0,0.1299799513636172
135,0.20029678959942382,0.0,0.0,0.0,0.0,0.20029678959942382
136,0.021616738955460176,0.0,0.0,0.0,0.0,0.021616738955460176
137,0.2811029030099418,0.0,0.0,0.0,0.16666666666666666,0.3144362363432751
138,0.25829787939527005,0.5,0.3295976937187676,0.0,0.0,0.9230967262546539
139,0.22061545308772273,0.0,0.0,0.2,0.3333333333333333,0.32728211975438937
14,0.47385169270214433,0.0,0.0,0.0,0.3333333333333333,0.540518359368811
140,0.1889988901598492,0.5,0.3295976937187676,0.0,0.0,0.853797737019233
141,0.17852009000483465,0.0,0.0,0.3333333333333333,0.16666666666666666,0.27852009000483463
142,0.14625978592288882,0.0,0.0,0.25,0.16666666666666666,0.22959311925622217
143,0.16032852497112773,0.0,0.0,0.0,0.16666666666666666,0.19366185830446106
144,0.1703776130399346,0.0,0.0,0.0,0.0,0.1703776130399346
145,0.03379706035505512,0.0,0.0,0.0,0.0,0.03379706035505512
146,0.14790436401528298,0.0,0.0,0.0,0.0,0.14790436401528298
147,0.14889216624864382,0.0,0.0,0.0,0.0,0.14889216624864382
148,0.20235958088422318,0.0,0.0,0.0,0.0,0.20235958088422318
149,0.08721399012126883,0.0,0.0,0.0,0.0,0.08721399012126883
15,0.40144898663438683,0.0,0.0,0.0,0.16666666666666666,0.43478231996772015
150,0.1249355599234725,0.0,0.0,0.0,0.0,0.1249355599234725
151,0.19351913681742203,0.5,0.3295976937187676,0.0,0.0,0.8583179836768059
152,0.1496846448064557,0.0,0.0,0.0,0.0,0.1496846448064557
153,0.2588189525555248,0.5,0.3295976937187676,0.0,0.0,0.9236177994149086
154,0.11164315372599404,0.0,0.0,0.0,0.0,0.11164315372599404
155,0.18579920481998974,0.5,0.3295976937187676,0.0,0.0,0.8505980516793735
156,0.19197828504788994,0.0,0.0,0.0,0.0,0.19197828504788994
157,0.15268065795882743,0.0,0.0,0.0,0.0,0.15268065795882743
158,0.034839127916018064,0.0,0.0,0.0,0.0,0.034839127916018064
159,0.16314142217767233,0.0,0.0,0.0,0.0,0.16314142217767233
16,0.20958545424588187,0.0,0.0,0.0,0.0,0.20958545424588187
160,0.08614325408534629,0.0,0.0,0.0,0.0,0.08614325408534629
161,0.17480547474935462,0.0,0.0,0.0,0.0,0.17480547474935462
162,0.17839887906262908,0.0,0.0,0.0,0.0,0.17839887906262908
163,0.2252389141311048,0.0,0.0,0.0,0.0,0.2252389141311048
164,0.25185018973371676,0.0,0.0,0.0,0.0,0.25185018973371676
165,0.19043656692334535,0.0,0.0,0.0,0.0,0.19043656692334535
166,0.0671969363166452,0.0,0.0,0.0,0.0,0.0671969363166452
167,0.16291869017990926,0.0,0.0,0.0,0.0,0.16291869017990926
168,0.2040724041237396,0.5,0.3295976937187676,0.0,0.0,0.8688712509831235
169,0.2755160158128692,0.0,0.0,0.0,0.0,0.2755160158128692
17,0.5142813307543782,0.0,0.0,0.0,0.6666666666666666,0.6476146640877115
170,0.047179409954742006,0.5,0.3295976937187676,0.0,0.0,0.7119782568141259
171,0.12157441751309879,0.0,0.0,0.0,0.0,0.12157441751309879
172,0.1041072040294014,0.0,0.0,0.0,0.0,0.1041072040294014
173,0.20420987891231648,0.5,0.3295976937187676,0.0,0.0,0.8690087257717003
174,0.1516894690649631,0.0,0.0,0.0,0.0,0.1516894690649631
175,0.2024629921688989,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3024629921688989
176,0.20788983996729588,0.0,0.0,0.0,0.0,0.20788983996729588
177,0.08867702745876771,0.5,0.3295976937187676,0.0,0.0,0.7534758743181516
178,0.06350138087144051,0.5,0.3295976937187676,0.0,0.0,0.7283002277308244
179,0.18964676619011758,0.5,0.3295976937187676,0.0,0.16666666666666666,0.8877789463828347
18,0.4030919895358491,0.0,0.0,0.0,0.3333333333333333,0.4697586562025158
180,0.16670072360727228,0.0,0.0,0.0,0.0,0.16670072360727228
181,0.16246369627924545,0.0,0.0,0.0,0.0,0.16246369627924545
182,0.1516894690649631,0.0,0.0,0.0,0.0,0.1516894690649631
183,0.17362132496633914,0.5,0.3295976937187676,0.0,0.0,0.838420171825723
184,0.19379849692918497,0.0,0.0,0.0,0.0,0.19379849692918497
185,0.13160389445480417,0.0,0.0,0.0,0.0,0.13160389445480417
186,0.11351274784300246,0.0,0.0,0.0,0.0,0.11351274784300246
187,0.2754337120866802,0.0,0.0,0.25,0.16666666666666666,0.35876704542001353
188,0.16403778457743948,0.5,0.3295976937187676,0.0,0.0,0.8288366314368233
189,0.2989618270986161,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3656284937652827
19,0.3748733103468346,0.0,0.0,0.0,0.16666666666666666,0.4082066436801679
190,0.18607974632495158,0.0,0.0,0.0,0.0,0.18607974632495158
191,0.25321958197031735,0.0,0.0,0.0,0.0,0.25321958197031735
192,0.24281800555073657,0.0,0.0,0.3333333333333333,0.16666666666666666,0.34281800555073655
193,0.054965893769044795,0.0,0.0,0.0,0.0,0.054965893769044795
194,0.11878609328509102,0.0,0.0,0.0,0.0,0.11878609328509102
195,0.08655217365125359,0.0,0.0,0.0,0.0,0.08655217365125359
196,0.05388003590017653,0.0,0.0,0.5,0.16666666666666666,0.18721336923350987
197,0.12148549798499607,0.0,0.0,0.0,0.0,0.12148549798499607
198,0.18807685214789294,0.0,0.0,0.0,0.0,0.18807685214789294
199,0.1274624024567938,0.0,0.0,0.0,0.0,0.1274624024567938
2,0.16355376778385639,0.0,0.0,0.0,0.0,0.16355376778385639
20,0.2368629568531182,0.0,0.0,0.0,0.0,0.2368629568531182
200,0.002012542694073466,0.0,0.0,0.0,0.0,0.002012542694073466
201,0.1489589543441541,0.0,0.0,0.0,0.0,0.1489589543441541
202,0.148178683516064,0.0,0.0,0.0,0.0,0.148178683516064
203,0.17319389690698264,0.0,0.0,0.0,0.0,0.17319389690698264
204,0.16685997541048195,0.5,0.3295976937187676,0.0,0.0,0.8316588222698658
205,0.0617230690689326,0.0,0.0,0.0,0.0,0.0617230690689326
206,0.2108356045289417,0.0,0.0,0.0,0.0,0.2108356045289417
207,0.18091052100345806,0.0,0.0,0.0,0.0,0.18091052100345806
208,0.05852771550413572,0.0,0.0,0.0,0.0,0.05852771550413572
209,0.236436631427414,0.0,0.0,0.0,0.0,0.236436631427414
21,0.379492163956741,0.0,0.0,0.0,0.5,0.479492163956741
210,0.09353133273321185,0.0,0.0,0.0,0.0,0.09353133273321185
211,0.14760940951329474,0.0,0.0,0.0,0.0,0.14760940951329474
212,0.03814624127742944,0.0,0.0,0.0,0.0,0.03814624127742944
213,0.10266621936494838,0.0,0.0,0.0,0.0,0.10266621936494838
214,0.10588441319825703,0.0,0.0,0.0,0.0,0.10588441319825703
215,0.08601645121533266,0.5,0.3295976937187676,0.0,0.0,0.7508152980747165
216,0.2530150434278171,0.0,0.0,0.0,0.0,0.2530150434278171
217,0.14843480956158223,0.0,0.0,0.0,0.0,0.14843480956158223
218,0.17282514470983742,0.0,0.0,0.0,0.0,0.17282514470983742
219,0.15420544278085468,0.0,0.0,0.0,0.0,0.15420544278085468
