node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score,score_normalization
428,0.46136569436092945,0.0,0.0,0.0,0.0,0.3333333333333333,0.25175983436853006,0.21839357425720568,0.9084832645389017,global
429,0.3277596336018687,0.75,0.6715650894463012,0.0,0.0,0.0,0.0,0.02219868023579822,2.140821940092673,global
43,0.4374815596352999,0.5,0.44771005963086746,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.24638478366773514,2.1429006411397618,global
430,0.09999639158288434,0.25,0.16666666666666666,0.0,0.0,0.0,0.17299771167048053,0.0432657528571169,0.8618007035982981,global
431,0.03523149153825525,0.0,0.0,0.0,0.0,0.0,0.28297715549005154,0.04158697387450229,0.4622394177078314,global
432,0.3536321365191578,0.0,0.0,0.0,0.0,0.0,0.4819875776397515,0.05658432963750761,0.957794380226125,global
433,0.34180611023930674,0.0,0.0,0.0,0.0,0.0,0.25175983436853006,0.043417524832812304,0.600090427629504,global
434,0.36527457225351695,0.5,0.44771005963086746,0.0,0.0,0.0,0.0,0.08417680831726188,1.5430265919038362,global
435,0.03523149153825525,0.0,0.0,0.0,0.0,0.0,0.28297715549005154,0.04158697387450229,0.4622394177078314,global
436,0.3864383058973308,0.25,0.22973106261923523,0.0,0.0,0.0,0.09036306588973554,0.043491688552206455,1.0422394892942781,global
437,0.44060492820047326,0.0,0.0,0.0,0.0,0.0,0.25175983436853006,0.07969232941064179,0.6738796402373358,global
438,0.18130561610188609,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.02400407318821908,0.2539295977710226,global
439,0.24998923860565866,0.25,0.3142047445118636,0.0,0.0,0.0,0.25175983436853006,0.015466904073735065,1.3686500198205975,global
44,0.48558228255417407,0.25,0.2965175105321927,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.28297715549005154,0.3223983951904029,1.9030672935674082,global
440,0.32709874998885813,0.5,0.44771005963086746,0.0,0.0,0.0,0.0,0.02219868023579822,1.4953298473124557,global
441,0.42341179007974866,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0856749498618381,0.37165038732591776,global
442,0.15749601871421862,0.25,0.2965175105321927,0.0,0.0,0.0,0.28297715549005154,0.06508487193433174,1.3426840653549459,global
443,0.5920842538199377,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.14893429618991,0.4981576041012599,global
444,0.5307641910796687,0.25,0.16666666666666666,0.0,0.0,0.0,0.17299771167048053,0.057849205395175955,1.1260947643115924,global
445,0.3384824225783602,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.024278344665459202,0.3483453902478031,global
446,0.20520669113159795,0.5,0.5930350210643854,0.0,0.0,0.0,0.28297715549005154,0.05656575857269889,2.1655895955783246,global
447,0.4674510750948923,0.5,0.3333333333333333,0.0,0.0,0.0,0.17299771167048053,0.05092186932606205,1.6103359602930807,global
448,0.4084098802920691,0.0,0.0,0.0,0.0,0.0,0.0,0.06045925594982019,0.2692296305551695,global
449,0.196782277911472,0.5,0.5930350210643854,0.0,0.0,0.0,0.28297715549005154,0.029496030061440703,2.149707056241746,global
45,0.5071057859059357,0.25,0.2965175105321927,0.0,0.0,0.0,0.28297715549005154,0.22512480041486585,1.6164658970621895,global
450,0.37232406804356355,0.0,0.0,1.0,1.0,0.0,0.0,0.02343089704278344,2.1827667996432516,global
