rank,node
1,112
2,116
3,12
4,124
5,131
6,145
7,146
8,178
9,196
10,214
11,234
12,237
13,244
14,249
15,271
16,272
17,273
18,274
19,287
20,299
21,315
22,32
23,331
24,344
25,371
26,379
27,400
28,41
29,417
30,424
31,446
32,454
33,462
34,468
35,472
36,476
37,490
38,493
39,80
40,95
