node_id,candidate_group,node,protected_group,ml_score,graphsage_pred_score,graphsage_embedding_norm,ris_score,fair_ris_score,shortfall_gain,group_quota,current_group_seed_count,group_shortfall_ratio,dynamic_shortfall_gain,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,community_diversity_score,cluster_diversity_bonus,cluster_coverage_bonus,ingroup_ris_score,protected_group_coverage_bonus,spread_proxy_score,weakest_group,candidate_helps_weakest_group,weakest_group_gain,weakest_group_ris_coverage,mf_gain_score,mf_lift_adjusted_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization,community_id
1007,1,1007,1,0.9929386377334595,0.9929386377334595,0.9760158658027649,0.5833333333333334,0.6,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,1.1717176317501625,0.05555555555555555,0.05555555555555555,0.5986909090909089,0.5986909090909089,0.0,0.0,0.0,0.0,0.5232895035266786,0,True,0.33333333333333337,0.33333333333333337,0.33333333333333337,5.463310628498965,0.0,0.0,4.463310628498965,3.0340165491235584,4.463310628498965,4.463310628498965,global,0
1009,1,1009,1,0.9551416635513306,0.9551416635513306,0.975108802318573,0.4166666666666667,0.39999999999999997,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,0.7811450878334417,0.9206349206349206,0.9206349206349206,0.3449600000000002,0.3449600000000002,0.0,0.0,0.0,0.0,0.43712217593824215,0,True,0.16666666666666669,0.16666666666666669,0.16666666666666669,4.213690729664611,0.0,0.0,3.7136907296646107,2.284396650289204,3.7136907296646107,3.7136907296646107,global,1
1025,1,1025,1,0.9881139397621155,0.9881139397621155,0.9534845948219299,0.16666666666666666,0.19999999999999998,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,0.39057254391672086,0.05,0.05,0.5986909090909089,0.5986909090909089,0.0,0.0,0.0,0.0,0.14218354238828293,0,True,0.16666666666666669,0.16666666666666669,0.16666666666666669,3.628452415113705,0.0,0.0,3.128452415113705,1.6991583357382982,3.128452415113705,3.128452415113705,global,0
1048,1,1048,1,0.7910445332527161,0.7910445332527161,0.7835165858268738,0.25,0.19999999999999998,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,0.39057254391672086,0.1780821917808219,0.1780821917808219,0.034844444444444525,0.034844444444444525,0.0,0.0,0.0,0.0,0.46779309826402465,0,False,0.0,0.0,0.0,2.8698898576790093,0.0,0.0,2.8698898576790093,1.4405957783036023,2.8698898576790093,2.8698898576790093,global,2
1049,0,1049,0,0.9417722821235657,0.9417722821235657,0.936892569065094,0.3333333333333333,0.4666666666666666,0.0,9,0,1.0,0.22994978041639558,1.0,0.22994978041639558,0.5739765641943179,0.7551020408163265,0.7551020408163265,0.3449600000000002,0.3449600000000002,0.0,0.0,0.0,1.0,0.34519194463641034,0,True,0.5,0.5,0.5,4.141046746381036,0.0,0.0,2.641046746381036,2.2961220757564424,2.641046746381036,2.641046746381036,global,1
1074,0,1074,0,0.8166714310646057,0.8166714310646057,0.7910791039466858,0.16666666666666666,0.2666666666666666,0.0,9,0,1.0,0.22994978041639558,1.0,0.22994978041639558,0.3279866081110387,0.2647058823529412,0.2647058823529412,0.16680851063829763,0.16680851063829763,0.0,0.0,0.0,1.0,0.22759082470951306,0,True,0.33333333333333337,0.33333333333333337,0.33333333333333337,2.8499433182082807,0.0,0.0,1.8499433182082805,1.505018647583687,1.8499433182082805,1.8499433182082805,global,3
1092,1,1092,1,0.9333472847938538,0.9333472847938538,0.9213737845420837,0.4166666666666667,0.39999999999999997,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,0.7811450878334417,0.7916666666666666,0.7916666666666666,0.9555,0.9555,0.0,0.0,0.0,0.0,0.3615792750069557,0,True,0.16666666666666669,0.16666666666666669,0.16666666666666669,4.478862356379243,0.0,0.0,3.978862356379243,2.549568277003836,3.978862356379243,3.978862356379243,global,4
1097,1,1097,1,0.955510139465332,0.955510139465332,0.9739872217178345,0.4166666666666667,0.39999999999999997,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,0.7811450878334417,0.851063829787234,0.851063829787234,0.3449600000000002,0.3449600000000002,0.0,0.0,0.0,0.0,0.3485150885847817,0,True,0.16666666666666669,0.16666666666666669,0.16666666666666669,4.187403384189774,0.0,0.0,3.687403384189774,2.2581093048143672,3.687403384189774,3.687403384189774,global,1
11,1,11,1,0.9435797929763794,0.9435797929763794,0.935197114944458,0.16666666666666666,0.1333333333333333,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,0.2603816959444805,0.0,0.0,0.7572727272727272,0.7572727272727272,0.0,0.0,0.0,0.0,0.2706709588276645,0,False,0.0,0.0,0.0,3.0773288983745064,0.0,0.0,3.0773288983745064,1.6480348189990996,3.0773288983745064,3.0773288983745064,global,5
1119,1,1119,1,0.7700391411781311,0.7700391411781311,0.7529275417327881,0.25,0.19999999999999998,0.0,32,0,1.0,0.9528627195836045,1.0,0.9528627195836045,0.39057254391672086,0.09803921568627451,0.09803921568627451,0.034844444444444525,0.034844444444444525,0.0,0.0,0.0,0.0,0.34652461012960967,0,False,0.0,0.0,0.0,2.816704997579017,0.0,0.0,2.816704997579017,1.38741091820361,2.816704997579017,2.816704997579017,global,2
